ID;Var;Dormancy;Box;LT;Time;LAI;MaxLAI
A25;ANTANE;2;4;S;13;10564;10564
A26;ANTANE;2;2;C;13;7277;8203
A27;ANTANE;2;3;S;13;8913;9762
A28;ANTANE;2;1;C;13;6841;8521
A29;ANTANE;2;4;S;13;10106;10988
A30;ANTANE;2;4;S;13;12883;12883
M1;MARINA;7;2;C;13;7199;7199
M2;MARINA;7;3;S;13;8814;11116
M3;MARINA;7;1;C;13;4637;5678
M4;MARINA;7;3;S;13;13109;15190
M5;MARINA;7;3;S;13;8140;8140
M6;MARINA;7;2;C;13;11234;14013
M7;MARINA;7;4;S;13;4864;5639
M8;MARINA;7;1;C;13;10953;10953
M9;MARINA;7;3;S;13;5942;8958
M10;MARINA;7;3;S;13;8752;8840
M11;MARINA;7;2;C;13;10879;10879
M12;MARINA;7;1;C;13;15637;15637
M13;MARINA;7;3;S;13;4230;5193
M14;MARINA;7;1;C;13;4586;4619
M15;MARINA;7;4;S;13;6237;9103
M16;MARINA;7;4;S;13;7818;9583
M17;MARINA;7;4;S;13;11328;12312
M18;MARINA;7;4;S;13;13592;13977
M19;MARINA;7;2;C;13;2844;4247
M20;MARINA;7;1;C;13;7601;8073
M21;MARINA;7;2;C;13;13224;13224
M22;MARINA;7;4;S;13;12213;12213
M23;MARINA;7;1;C;13;10555;10556
M24;MARINA;7;3;S;13;4070;4134
M25;MARINA;7;3;S;13;7314;8037
M26;MARINA;7;2;C;13;9954;9954
M27;MARINA;7;1;C;13;10682;12508
M28;MARINA;7;2;C;13;9959;11289
M29;MARINA;7;1;C;13;9386;10029
M30;MARINA;7;4;S;13;6583;8252
B1;BARVINCE;7;1;C;13;5479;7041
B2;BARVINCE;7;1;C;13;5149;6374
B3;BARVINCE;7;3;S;13;9328;10527
B4;BARVINCE;7;3;S;13;8554;9362
B5;BARVINCE;7;3;S;13;5418;5785
B6;BARVINCE;7;2;C;13;5457;9130
B7;BARVINCE;7;3;S;13;4482;4541
B8;BARVINCE;7;2;C;13;8305;9283
B9;BARVINCE;7;4;S;13;5981;9829
B10;BARVINCE;7;3;S;13;11960;13228
B11;BARVINCE;7;2;C;13;8566;11955
B12;BARVINCE;7;3;S;13;8195;10548
B13;BARVINCE;7;1;C;13;3280;3829
B14;BARVINCE;7;2;C;13;2191;4169
B15;BARVINCE;7;2;C;13;3597;4527
B16;BARVINCE;7;4;S;13;3763;5907
B17;BARVINCE;7;4;S;13;5504;5801
B18;BARVINCE;7;1;C;13;7387;7594
B19;BARVINCE;7;1;C;13;5635;6520
B20;BARVINCE;7;4;S;13;5744;6410
B21;BARVINCE;7;1;C;13;3409;4774
B22;BARVINCE;7;3;S;13;5572;7324
B23;BARVINCE;7;2;C;13;4025;4991
B24;BARVINCE;7;4;S;13;7593;10306
B25;BARVINCE;7;2;C;13;;4073
B26;BARVINCE;7;4;S;13;6244;9810
B27;BARVINCE;7;4;S;13;5177;7722
B28;BARVINCE;7;1;C;13;6804;8318
B29;BARVINCE;7;4;S;13;11578;15173
B30;BARVINCE;7;3;S;13;6137;7671
L1;LUZELLE;2;4;S;17;6500;7518
L2;LUZELLE;2;2;C;17;6938;7873
L3;LUZELLE;2;1;C;17;8257;9895
L4;LUZELLE;2;2;C;17;7102;7102
L5;LUZELLE;2;3;S;17;9270;9996
L6;LUZELLE;2;3;S;17;3387;4082
L7;LUZELLE;2;3;S;17;4624;5175
L8;LUZELLE;2;3;S;17;9887;11765
L9;LUZELLE;2;4;S;17;6383;6383
L10;LUZELLE;2;1;C;17;7416;8545
L11;LUZELLE;2;3;S;17;10327;13004
L12;LUZELLE;2;4;S;17;10267;13724
L13;LUZELLE;2;2;C;17;6131;7652
L14;LUZELLE;2;2;C;17;6709;6709
L15;LUZELLE;2;4;S;17;8827;9137
L16;LUZELLE;2;4;S;17;6535;8678
L17;LUZELLE;2;2;C;17;4356;4724
L18;LUZELLE;2;2;C;17;5272;5347
L19;LUZELLE;2;4;S;17;7112;10124
L20;LUZELLE;2;2;C;17;7751;9817
L21;LUZELLE;2;1;C;17;6385;7773
L22;LUZELLE;2;2;C;17;5046;7447
L23;LUZELLE;2;4;S;17;2915;4028
L24;LUZELLE;2;1;C;17;3452;4098
L25;LUZELLE;2;1;C;17;6580;6877
L26;LUZELLE;2;4;S;17;6578;9513
L27;LUZELLE;2;3;S;17;3741;3741
L28;LUZELLE;2;3;S;17;6104;6672
L29;LUZELLE;2;1;C;17;5090;5431
L30;LUZELLE;2;1;C;17;2829;3938
A1;ANTANE;2;3;S;17;5226;6347
A2;ANTANE;2;1;C;17;8698;10077
